mm,ct
0.8,0.0025
1,0.005
1.1,0.0067
1.2,0.009
1.25,0.01
1.3,0.01
1.5,0.015
1.75,0.02
1.8,0.025
2,0.03
2.2,0.04
2.5,0.06
2.75,0.08
3,0.1
3.25,0.14
3.5,0.17
3.75,0.21
4,0.25
4.25,0.28
4.5,0.36
4.75,0.44
5,0.5
5.25,0.56
5.5,0.66
5.75,0.75
6,0.84
6.25,0.93
6.5,1
6.8,1.25
7,1.3
7.3,1.5
7.5,1.67
7.75,1.75
8,2
8.25,2.11
8.5,2.43
8.7,2.5
9,2.75
9.1,3
